Ranking,Title,Director,Year,Studio,Genre,IMDB,RottenTomatoes,Metacritic,WorldwideGross
1,Parasite,Bong Joon Ho,2019,Neon,Thriller,8.50,99.00,97.00,258129037
2,Mulholland Drive,David Lynch,2001,Universal,Thriller,7.90,84.00,87.00,20391793
3,There will be Blood,Paul Thomas Anderson,2007,Paramount,Thriller,8.20,91.00,93.00,76430381
4,In the Mood for Love,Wong Kar-wai,2001,USA,Romance,8.10,92.00,87.00,15862505
5,Moonlight,Barry Jenkins,2016,A24,Romance,7.40,98.00,99.00,65172611
6,No Country for Old Men,Ethan and Joel Coen,2007,Miramax,Thriller,8.20,93.00,92.00,171627166
7,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Focus,Romance,8.30,92.00,89.00,73362029
8,Get Out,Jordan Peele,2017,Universal,Horror,7.80,98.00,85.00,255407969
9,Spirited Away,Hayao Miyazaki,2002,Ghibli,Adventure,8.60,96.00,96.00,359591806
10,The Social Network,David Fincher,2010,Sony,Drama,7.80,96.00,95.00,224920315
11,Mad Max: Fury Road,George Miller,2015,Warner Bros.,Action,8.10,97.00,90.00,380437267
12,The Zone of Interest,Jonathan Glazer,2024,A24,Drama,7.30,93.00,92.00,52693374
13,Children of Men,Alfonso Cuarón,2006,Universal,Thriller,7.90,92.00,84.00,70598774
14,Inglourious Basterds,Quentin Tarantino,2009,Universal,Action,8.40,89.00,69.00,321460744
15,City of God,Fernando Meirelles and Kátia Lund,2002,Miramax,Drama,8.60,91.00,79.00,30681033
16,"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Sony,Action,7.90,98.00,94.00,213978518
17,Brokeback Mountain,Ang Lee,2005,Focus,Romance,7.70,88.00,87.00,179137137
18,Y Tu Mamá También,Alfonso Cuarón,2002,IFC,Comedy,7.70,90.00,89.00,33616692
19,Zodiac,David Fincher,2007,Paramount,Thriller,7.70,90.00,79.00,84786496
20,Once Upon a Time… In Hollywood,Martin Scorsese,2013,Paramount,Comedy,8.20,79.00,74.00,407039432
21,The Royal Tenenbaums,Wes Anderson,2001,Disney,Comedy,7.60,81.00,76.00,71446091
22,The Grand Budapest Hotel,Wes Anderson,2014,Fox,Comedy,8.10,92.00,88.00,174567384
23,Boyhood,Richard Linklater,2014,IFC,Drama,7.90,97.00,100.00,48137666
24,Her,Spike Jonze,2013,Warner Bros.,Romance,8.00,95.00,91.00,48274727
25,Phantom Thread,Paul Thomas Anderson,2017,Focus,Romance,7.40,91.00,90.00,52204454
26,Anatomy of a Fall,Justine Triet,2023,Neon,Thriller,7.60,96.00,86.00,36051506
27,Adaptation,Spike Jonze,2002,Sony,Comedy,7.70,90.00,83.00,32802440
28,The Dark Knight,Christopher Nolan,2008,Warner Bros.,Action,9.00,94.00,85.00,1009057329
